Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Мягкие игрушки,9418,45,Товары для дома,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2013-04-11,2026-04-23,4.19,Out of Stock
2,Куркума молотая,3083,22,Бакалея,Прошел все необходимые сертификации и соответствует международным стандартам.,2009-04-19,2018-10-03,4.14,New
3,Шахтинская,4223,283,Напитки,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2021-07-02,2029-06-06,0.63,Pending
4,Подставки под столовые приборы,2136,857,Товары для дома,"Является источником антиоксидантов, замедляющих процессы старения.",2005-03-05,2014-03-20,4.65,Available for Pickup
5,Чеддер,8834,512,Молочные продукты,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",1990-09-01,2002-04-03,4.83,Returned
6,Биточки,4663,958,Мясо,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2000-04-25,2021-04-02,4.86,Returned
7,Брокколи,9986,795,Овощи,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2000-03-04,2022-04-06,4.55,Delivered
8,Спаржа,535,957,Овощи,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2004-07-08,2029-01-04,4.75,Out of Stock
9,Просо,882,13,Бакалея,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1991-05-09,2023-01-25,4.94,Out of Stock
10,Пакеты для рыбалки,2765,751,Товары для дома,Отличается удобством использования и экономичностью в расходе.,2016-01-22,2023-09-03,3.78,Backorder
11,Крыжовник,5846,686,Фрукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2008-05-05,2023-07-19,4.01,On Backorder
12,Киви,7486,751,Фрукты,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2013-07-07,2022-01-05,2.08,Awaiting Payment
13,Баклажан,9514,259,Овощи,Способствует улучшению работы пищеварительной системы.,2008-04-04,2020-09-07,1.57,Cancelled
14,Помидор,964,70,Овощи,Отличается хорошим сочетанием с различными специями и приправами.,2019-01-18,2021-04-01,3.41,Cancelled
15,Геркулес,2349,739,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2015-01-16,2019-03-01,4.21,Sold
16,Пакеты для походов,9958,961,Товары для дома,Помогает поддерживать нормальный уровень гемоглобина в крови.,2014-11-12,2030-02-01,4.82,Cancelled
17,Каша из дробленной кускусовой крупы,5461,656,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2013-06-14,2017-03-04,3.84,New
18,Мордовская,495,593,Напитки,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2017-07-05,2023-03-03,0.4,Available for Pickup
