product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Пастрома,1886,801,Мясо,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2008-08-04,2017-03-07,3.62,Refunded
2,Орегано сушеный,6058,339,Бакалея,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2002-09-02,2018-06-01,1.45,Awaiting Payment
3,Инжир,6503,681,Фрукты,Может использоваться в вегетарианской диете как источник белка.,2005-01-18,2005-04-05,4.46,Sold
4,Баклажан,1667,280,Овощи,Помогает поддерживать нормальный уровень триглицеридов в крови.,1994-06-16,2016-01-03,3.75,Delivered
5,Просо,5283,138,Бакалея,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2000-03-03,2022-09-14,0.79,Available for Pickup
6,Свекла,1829,672,Овощи,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2007-08-19,2029-09-05,0.35,Cancelled
7,Манго,6438,449,Фрукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2012-04-02,2029-01-22,0.02,Cancelled
8,Формы для выпечки,3115,792,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2020-05-05,2029-04-09,3.41,New
9,Манго,7628,620,Фрукты,Отличается низкой калорийностью и высоким содержанием белка.,1990-05-24,1998-01-09,3.18,Cancelled
10,Нектарин,2275,778,Фрукты,Отличается хорошей совместимостью с другими продуктами питания.,2000-07-04,2022-04-02,1.37,Pending
11,Сыр,9298,102,Молочные продукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2017-02-17,2026-03-01,1.78,Awaiting Review
12,Апельсин,7573,998,Фрукты,Подходит для использования в качестве основы для смузи и коктейлей.,2012-09-13,2015-01-01,4.13,Backorder
13,Засоленное мясо,8653,622,Мясо,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2022-01-10,2024-07-18,1.31,Shipping
14,Сальтисон,5970,896,Мясо,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2002-01-04,2006-10-10,4.98,Cancelled
15,Кабачок,5351,200,Овощи,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1992-03-05,1993-05-16,4.34,Returned
16,Йогурт,8663,873,Молочные продукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2020-01-03,2027-06-09,1.95,Pending
17,Тан,9583,83,Молочные продукты,Подходит для использования в качестве замены традиционных молочных продуктов.,2022-01-02,2028-02-05,1.21,Awaiting Payment
18,Сырой арахис,8315,617,Бакалея,Представляет собой ценный источник питательных веществ для растущего организма.,2020-06-02,2025-04-14,1.93,Returned
19,Славяновская,7052,997,Напитки,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2017-03-05,2019-08-05,3.81,Pending
20,Каша из булгура,4173,567,Бакалея,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2013-01-08,2027-01-05,0.6,New
21,Персик,5730,741,Фрукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2005-10-17,2028-03-22,1.96,Returned
22,Клубника,5148,828,Фрукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,1998-02-06,2022-08-02,1.23,Sold
